Status,Transaction ID,ID,Shipping,Total
Completed,1371,1,0.0,1.5
Completed,1380,2,0.0,1982.0
Completed,1381,3,47.61,311.61
Completed,1382,4,42.23,494.23
Completed,1386,5,24.97,352.97
Completed,1392,6,75.97,603.97
Completed,1399,7,92.73,1244.73
Completed,1402,8,34.76,288.76
Completed,1403,9,80.88,362.88
Completed,1416,10,55.03,667.03
Completed,1418,11,60.29,1056.29
Completed,1419,12,65.03,937.03
Completed,1420,13,68.4,1018.4
Completed,1424,14,119.8,1109.8
Completed,1430,15,72.92,590.92
Completed,1431,16,31.7,60.6
Completed,1434,17,106.09,395.09
Completed,1453,18,55.22,633.22
Completed,1454,19,28.99,217.99
Completed,1455,20,28.99,217.99
Completed,1462,21,28.09,126.09
Completed,1464,22,51.92,591.92
Completed,1469,23,82.54,370.54
Completed,1470,24,15.0,101.7
Completed,1471,25,280.68,1084.68
Completed,1475,26,15.0,184.9
Completed,1476,27,49.57,219.47
Completed,1478,28,29.44,217.44
Completed,1483,29,69.39,167.39
Completed,1503,30,15.0,57.0
Completed,1506,31,0.0,768.0
Completed,1517,32,40.48,304.48
Completed,1523,33,0.0,704.0
Completed,1525,34,0.0,432.0
Completed,1533,35,0.0,1548.0
Completed,1534,36,15.0,110.2
Completed,1535,37,0.0,534.0
Completed,1536,37,0.0,508.0
Completed,1537,38,0.0,646.5
Completed,1538,39,0.0,2868.0
Completed,1539,40,0.0,528.0
Completed,1540,41,0.0,528.0
Completed,1541,42,65.68,222.18
Completed,1542,43,0.0,404.66
Completed,1543,44,0.0,436.0
Completed,1547,45,0.0,576.0
Completed,1550,46,0.0,983.0
Completed,1551,47,0.0,588.0
Completed,1553,48,0.0,1740.8
Completed,1559,49,0.0,421.3
Completed,1560,50,0.0,988.2
Completed,1563,51,0.0,734.0
Completed,1564,52,151.27,474.07
Completed,1566,53,15.0,336.8
Completed,1568,54,29.29,207.29
Completed,1569,55,0.0,730.5
Completed,1572,56,0.0,664.0
Completed,1573,57,0.0,504.0
Completed,1587,58,0.0,780.0
Completed,1589,59,0.0,483.4
Completed,1590,60,27.91,113.91
Completed,1591,61,0.0,420.2
Completed,1593,62,0.0,606.0
Completed,1594,63,0.0,1023.5
Completed,1595,64,0.0,242.5
Completed,1596,65,0.0,2325.0
Completed,1600,66,0.0,3480.0
Completed,1603,67,0.0,420.0
Completed,1604,68,15.0,214.6
Completed,1605,69,0.0,784.0
Completed,1609,70,0.0,525.0
Completed,1618,71,0.0,460.8
Completed,1619,72,0.0,1176.0
Completed,1620,73,0.0,526.1
Completed,1621,25,0.0,963.0
Completed,1630,74,0.0,5280.0
Completed,1631,75,0.0,716.0
Completed,1634,76,0.0,514.5
Completed,1639,77,0.0,432.8
Completed,1640,78,0.0,608.0
Completed,1642,79,0.0,449.0
Completed,1644,80,0.0,480.5
Completed,1645,81,0.0,669.0
Completed,1646,81,0.0,750.0
Completed,1647,82,0.0,588.0
Completed,1648,83,0.0,1050.0
Completed,1649,84,0.0,538.4
Completed,1651,85,0.0,1057.0
Completed,1652,86,0.0,744.0
Completed,1657,87,0.0,468.0
Completed,1659,88,15.0,111.0
Completed,1661,89,0.0,418.5
Completed,1662,90,0.0,400.0
Completed,1663,91,52.74,160.34
Completed,1665,92,0.0,1530.0
Completed,1666,93,0.0,724.5
Completed,1667,94,0.0,598.0
Completed,1673,95,99.36,195.36
Completed,1676,96,0.0,2832.0
Completed,1678,97,0.0,432.0
Completed,1691,98,0.0,468.0
Completed,1695,99,0.0,642.0
Completed,1696,100,0.0,1056.0
Completed,1697,101,0.0,414.0
Completed,1698,102,0.0,48.0
Completed,1699,103,0.0,708.0
Completed,1700,104,0.0,722.0
Completed,1701,105,0.0,1101.5
Completed,1703,106,0.0,508.0
Completed,1704,107,0.0,516.0
Completed,1706,108,0.0,636.0
Completed,1707,109,80.06,356.06
Completed,1708,110,0.0,436.0
Completed,1713,111,0.0,708.0
Completed,1715,2,0.0,1054.0
Completed,1716,112,94.5,366.5
Completed,1718,113,0.0,624.0
Completed,1719,114,0.0,426.8
Completed,1721,115,0.0,516.5
Completed,1722,116,0.0,408.0
Completed,1724,117,0.0,1296.0
Completed,1725,118,0.0,860.0
Completed,1727,119,0.0,456.0
Completed,1728,120,0.0,500.75
Completed,1729,121,0.0,4176.0
Completed,1731,122,0.0,533.0
Completed,1734,123,0.0,411.0
Completed,1739,124,0.0,1604.0
Completed,1742,103,15.0,263.0
Completed,1744,125,0.0,405.0
Completed,1745,126,0.0,580.0
Completed,1746,127,0.0,518.5
Completed,1748,128,0.0,585.72
Completed,1749,47,0.0,588.0
Completed,1750,129,0.0,656.0
Completed,1751,130,0.0,511.0
Completed,1752,131,0.0,582.0
Completed,1753,132,0.0,498.0
Completed,1755,133,0.0,430.0
Completed,1756,97,0.0,628.0
Completed,1757,134,0.0,498.0
Completed,1762,135,0.0,4971.0
Completed,1765,136,0.0,405.4
Completed,1766,137,0.0,596.0
Completed,1769,138,29.14,317.14
Completed,1770,139,357.98,1941.98
Completed,1771,99,0.0,933.5
Completed,1772,140,0.0,418.3
Completed,1773,141,0.0,483.0
Completed,1774,142,0.0,1290.0
Completed,1776,143,0.0,542.5
Completed,1782,144,0.0,419.2
Completed,1783,145,0.0,2536.0
