ID,Status,Transaction ID,Shipping,Total,CEP
1,Completed,1371,0.0,1.5,74120-130
1,Refunded,8826,15.0,53.3,74120-130
1,Completed,8831,0.0,-53.3,74120-130
1,Cancelled,8829,15.0,53.3,74120-130
1,Cancelled,8830,0.0,38.3,74120-130
1,Completed,8832,0.0,38.3,74120-130
1,Completed,8864,0.0,-38.3,74120-130
1,Cancelled,9335,0.0,49.8,74120-130
1,Cancelled,43301,15.0,184.2,74120-130
1,Hold,63664,0.0,133.2,74120-130
1,Completed,64011,0.0,61.2,74120-130
1,Cancelled,64081,0.0,142.02,74120-130
1,Cancelled,64092,0.0,88.2,74120-130
1,Failed,64123,0.0,262.8,74120-130
1,Failed,64124,0.0,342.0,74120-130
1,Failed,64125,0.0,342.0,74120-130
1,Failed,64225,0.0,52.2,74120-130
1,Failed,64257,20.0,82.82,74120-130
1,Completed,64404,0.0,98.0,74120-130
1,Completed,64406,0.0,115.2,74120-130
1,Failed,64449,0.0,62.82,74120-130
1,Failed,65601,0.0,5521.05,74120-130
1,Failed,66965,0.0,131.1,74120-130
1,Failed,67090,0.0,136.0,74120-130
1,Pending,67099,0.0,448.2,74120-130
1,Cancelled,67139,0.0,0.9,74120-130
1,Cancelled,67140,0.0,4.5,74120-130
1,Cancelled,67141,0.0,5.4,74120-130
1,Cancelled,67142,0.0,6.0,74120-130
1,Cancelled,67150,0.0,133.2,74120-130
2,Completed,1380,0.0,1982.0,78043-298
2,Completed,1715,0.0,1054.0,78043-298
2,Completed,1923,0.0,1240.0,78043-298
2,Completed,3382,0.0,1146.0,78043-298
2,Cancelled,6618,0.0,1176.0,78043-298
2,Completed,6944,0.0,1130.0,78043-298
2,Pending,10380,0.0,708.0,78043-298
2,Completed,10388,0.0,708.0,78043-298
2,Pending,16176,0.0,708.0,78043-298
2,Cancelled,16182,0.0,942.0,78043-298
2,Completed,16628,0.0,648.0,78043-298
2,Pending,19118,0.0,970.0,78043-298
2,Pending,19121,0.0,1166.0,78043-298
2,Completed,19123,0.0,1264.0,78043-298
2,Pending,26357,0.0,648.0,78043-298
2,Completed,26359,0.0,628.0,78043-298
3,Completed,1381,47.61,311.61,40296-720
3,Completed,2043,0.0,440.0,40296-720
3,Completed,8166,0.0,492.0,40296-720
3,Completed,12230,0.0,432.0,40296-720
4,Completed,1382,42.23,494.23,77805-203
4,Completed,3617,0.0,488.0,77805-203
4,Completed,5987,0.0,420.0,77805-203
4,Completed,28033,0.0,1670.0,77805-203
4,Completed,32984,0.0,980.0,77805-203
4,Completed,35065,0.0,680.1,77805-203
4,Completed,37665,0.0,471.0,77805-203
4,Completed,39647,0.0,1313.4,77805-203
4,Failed,41220,0.0,460.0,77805-203
4,Completed,43937,0.0,723.6,77805-203
4,Cancelled,58746,155.23,553.03,77805-203
4,Completed,58747,0.0,486.0,77805-203
5,Completed,1386,24.97,352.97,75400-648
5,Completed,46022,0.0,955.8,75400-648
5,Completed,48351,0.0,732.0,75400-648
5,Completed,49152,31.75,389.95,75400-648
5,Completed,49686,58.17,457.77,75400-648
5,Completed,51145,41.31,325.71,75400-648
5,Completed,53944,0.0,598.5,75400-648
5,Completed,57095,38.91,215.31,75400-648
5,Completed,58429,0.0,584.0,75400-648
6,Completed,1392,75.97,603.97,15093-314
6,Completed,10774,0.0,1188.0,15093-314
6,Completed,14076,0.0,1188.0,15093-314
6,Completed,17660,0.0,594.0,15093-314
7,Completed,1399,92.73,1244.73,30320-730
8,Completed,1402,34.76,288.76,24210-510
9,Completed,1403,80.88,362.88,04507-110
10,Completed,1416,55.03,667.03,13092-621
11,Completed,1418,60.29,1056.29,84015-050
11,Completed,2221,0.0,782.8,84015-050
11,Completed,43340,0.0,528.0,84015-050
12,Completed,1419,65.03,937.03,66053-000
13,Completed,1420,68.4,1018.4,05717-230
13,Pending,29009,0.0,468.0,05717-230
13,Completed,29010,0.0,468.0,05717-230
13,Completed,44050,0.0,512.0,05717-230
14,Completed,1424,119.8,1109.8,29303-297
14,Completed,35403,0.0,1108.0,29303-297
15,Completed,1430,72.92,590.92,01244-001
15,Completed,9499,0.0,2190.0,01244-001
16,Completed,1431,31.7,60.6,12516-230
17,Completed,1434,106.09,395.09,36400-000
18,Completed,1453,55.22,633.22,79032-410
18,Completed,5336,0.0,3048.0,79032-410
18,Completed,24129,0.0,2164.0,79032-410
18,Completed,33792,0.0,852.0,79032-410
18,Completed,66026,0.0,1470.6,79032-410
19,Completed,1454,28.99,217.99,09726-121
20,Completed,1455,28.99,217.99,13141-055
21,Completed,1462,28.09,126.09,02730-050
22,Completed,1464,51.92,591.92,80240-230
22,Completed,1827,0.0,2868.0,80240-230
22,Completed,24118,0.0,2088.0,80240-230
22,Failed,41124,0.0,696.0,80240-230
23,Completed,1469,82.54,370.54,35790-000
24,Completed,1470,15.0,101.7,74369-070
25,Completed,1471,280.68,1084.68,15093-010
25,Completed,1621,0.0,963.0,15093-010
26,Completed,1475,15.0,184.9,74015-080
27,Completed,1476,49.57,219.47,33600-000
27,Completed,1913,0.0,459.6,33600-000
27,Completed,15497,0.0,459.6,33600-000
27,Completed,29294,0.0,504.0,33600-000
27,Completed,39610,0.0,475.2,33600-000
28,Completed,1478,29.44,217.44,06020-150
29,Completed,1483,69.39,167.39,04576-020
30,Completed,1503,15.0,57.0,74120-130
30,Cancelled,49554,0.0,502.56,74120-130
30,Cancelled,49557,0.0,538.2,74120-130
31,Completed,1506,0.0,768.0,88801-520
32,Completed,1517,40.48,304.48,04507-100
33,Completed,1523,0.0,704.0,12246-140
34,Completed,1525,0.0,432.0,13843-216
35,Completed,1533,0.0,1548.0,30320-590
35,Completed,12543,0.0,1468.0,30320-590
36,Completed,1534,15.0,110.2,70238-090
37,Completed,1535,0.0,534.0,04080-004
37,Completed,1536,0.0,508.0,04080-004
37,Failed,64226,0.0,957.24,04080-004
37,Failed,64227,0.0,957.24,04080-004
38,Completed,1537,0.0,646.5,35500-006
38,Completed,11658,0.0,511.0,35500-006
38,Completed,15854,0.0,590.0,35500-006
38,Completed,25858,0.0,694.0,35500-006
39,Completed,1538,0.0,2868.0,01224-010
40,Completed,1539,0.0,528.0,05745-230
40,Completed,1814,0.0,598.8,05745-230
40,Completed,4053,0.0,3982.02,05745-230
40,Completed,4231,0.0,568.86,05745-230
40,Completed,14437,0.0,1708.86,05745-230
40,Completed,43558,0.0,381.06,05745-230
40,Completed,45009,0.0,421.2,05745-230
41,Completed,1540,0.0,528.0,01312-000
42,Completed,1541,65.68,222.18,81070-010
42,Completed,44239,0.0,716.4,81070-010
42,Completed,56547,0.0,478.8,81070-010
43,Completed,1542,0.0,404.66,22231-130
43,Completed,11114,0.0,442.9,22231-130
43,Cancelled,39462,0.0,486.8,22231-130
43,Failed,40503,0.0,428.0,22231-130
44,Completed,1543,0.0,436.0,38182-178
44,Completed,13175,0.0,476.0,38182-178
45,Completed,1547,0.0,576.0,34010-543
46,Completed,1550,0.0,983.0,04530-060
46,Completed,11528,0.0,1912.0,04530-060
47,Completed,1551,0.0,588.0,04041-050
47,Completed,1749,0.0,588.0,04041-050
47,Completed,2140,0.0,708.0,04041-050
47,Completed,2277,0.0,1245.0,04041-050
47,Completed,4032,0.0,588.0,04041-050
47,Completed,4400,0.0,3003.9,04041-050
47,Completed,6798,0.0,4181.9,04041-050
47,Completed,7301,0.0,1474.4,04041-050
47,Completed,7924,0.0,1044.0,04041-050
47,Completed,19654,0.0,704.0,04041-050
47,Completed,21203,0.0,842.0,04041-050
47,Completed,25827,0.0,1223.6,04041-050
47,Completed,31679,0.0,2247.4,04041-050
47,Completed,39075,0.0,2462.4,04041-050
47,Cancelled,41637,0.0,583.2,04041-050
47,Completed,41879,0.0,583.2,04041-050
47,Completed,44729,0.0,799.2,04041-050
47,Completed,45345,0.0,1879.2,04041-050
47,Completed,46041,0.0,1723.68,04041-050
47,Completed,46445,0.0,1339.2,04041-050
47,Completed,49966,0.0,723.9,04041-050
47,Completed,49967,0.0,861.84,04041-050
47,Completed,51684,0.0,472.0,04041-050
47,Completed,53138,0.0,464.0,04041-050
47,Completed,58396,0.0,1086.0,04041-050
48,Completed,1553,0.0,1740.8,35500-025
48,Completed,40291,0.0,449.96,35500-025
48,Completed,51375,0.0,421.2,35500-025
49,Completed,1559,0.0,421.3,11310-050
50,Completed,1560,0.0,988.2,04531-010
50,Completed,5533,0.0,988.2,04531-010
50,Cancelled,8346,0.0,988.2,04531-010
50,Pending,10583,0.0,988.2,04531-010
51,Completed,1563,0.0,734.0,12244-484
