ID,Status,Transaction ID,Shipping,Total,CEP
1,Refunded,8826,15.0,53.3,74120-130
1,Cancelled,8829,15.0,53.3,74120-130
1,Cancelled,8830,0.0,38.3,74120-130
1,Cancelled,9335,0.0,49.8,74120-130
1,Cancelled,43301,15.0,184.2,74120-130
1,Hold,63664,0.0,133.2,74120-130
1,Cancelled,64081,0.0,142.02,74120-130
1,Cancelled,64092,0.0,88.2,74120-130
1,Failed,64123,0.0,262.8,74120-130
1,Failed,64124,0.0,342.0,74120-130
1,Failed,64125,0.0,342.0,74120-130
1,Failed,64225,0.0,52.2,74120-130
1,Failed,64257,20.0,82.82,74120-130
1,Failed,64449,0.0,62.82,74120-130
1,Failed,65601,0.0,5521.05,74120-130
1,Failed,66965,0.0,131.1,74120-130
1,Failed,67090,0.0,136.0,74120-130
1,Pending,67099,0.0,448.2,74120-130
1,Cancelled,67139,0.0,0.9,74120-130
1,Cancelled,67140,0.0,4.5,74120-130
1,Cancelled,67141,0.0,5.4,74120-130
1,Cancelled,67142,0.0,6.0,74120-130
1,Cancelled,67150,0.0,133.2,74120-130
2,Cancelled,6618,0.0,1176.0,78043-298
2,Pending,10380,0.0,708.0,78043-298
2,Pending,16176,0.0,708.0,78043-298
2,Cancelled,16182,0.0,942.0,78043-298
2,Pending,19118,0.0,970.0,78043-298
2,Pending,19121,0.0,1166.0,78043-298
2,Pending,26357,0.0,648.0,78043-298
4,Failed,41220,0.0,460.0,77805-203
4,Cancelled,58746,155.23,553.03,77805-203
13,Pending,29009,0.0,468.0,05717-230
22,Failed,41124,0.0,696.0,80240-230
30,Cancelled,49554,0.0,502.56,74120-130
30,Cancelled,49557,0.0,538.2,74120-130
37,Failed,64226,0.0,957.24,04080-004
37,Failed,64227,0.0,957.24,04080-004
43,Cancelled,39462,0.0,486.8,22231-130
43,Failed,40503,0.0,428.0,22231-130
47,Cancelled,41637,0.0,583.2,04041-050
50,Cancelled,8346,0.0,988.2,04531-010
50,Pending,10583,0.0,988.2,04531-010
51,Pending,30537,0.0,1300.0,12244-484
51,Pending,67107,0.0,3907.8,12244-484
52,Cancelled,7448,0.0,614.4,22630-010
52,Cancelled,7451,0.0,614.4,22630-010
52,Cancelled,7452,0.0,614.4,22630-010
52,Cancelled,7496,0.0,541.2,22630-010
52,Cancelled,7910,0.0,488.0,22630-010
61,Refunded,23593,0.0,415.0,09861-160
72,Cancelled,7668,0.0,588.0,01034-030
72,Cancelled,45271,0.0,1814.4,01034-030
78,Pending,31471,0.0,558.28,11040-191
96,Pending,17210,0.0,851.0,45028-070
96,Pending,17211,0.0,468.0,45028-070
96,Cancelled,17276,0.0,421.3,45028-070
96,Pending,29570,0.0,506.0,45028-070
97,Cancelled,6459,0.0,972.0,18080-692
100,Cancelled,8313,0.0,1117.2,04039-031
116,Pending,31204,0.0,713.44,30210-530
121,Pending,32607,0.0,4416.0,13401-630
123,Pending,11005,0.0,432.0,04298-090
123,Pending,13728,0.0,472.0,04298-090
129,Cancelled,8565,15.0,709.0,05005-010
137,Cancelled,43705,0.0,441.0,87013-230
140,Pending,31141,0.0,596.0,08790-340
140,Pending,31142,0.0,506.6,08790-340
140,Cancelled,47379,0.0,662.4,08790-340
141,Cancelled,37103,0.0,446.0,63040-180
141,Cancelled,39549,0.0,467.1,63040-180
150,Pending,14503,0.0,648.0,18046-684
155,Cancelled,10800,0.0,652.0,03127-030
155,Pending,22490,68.63,464.63,03127-030
158,Cancelled,7673,0.0,685.8,09750-620
159,Pending,31946,0.0,761.58,04215-000
160,Refunded,1824,0.0,408.0,57035-160
161,Cancelled,56637,0.0,800.73,35010-240
161,Hold,64835,0.0,439.2,35010-240
163,Pending,15635,0.0,564.0,30310-220
163,Pending,15636,0.0,564.0,30310-220
163,Pending,15637,0.0,564.0,30310-220
163,Cancelled,56941,64.21,420.61,30310-220
163,Cancelled,57425,0.0,480.6,30310-220
167,Refunded,1835,0.0,1197.6,35660-630
169,Pending,22929,0.0,470.0,01420-001
170,Pending,33285,0.0,792.0,01257-000
178,Cancelled,6252,38.63,338.43,31150-590
178,Cancelled,6258,0.0,409.6,31150-590
178,Cancelled,6260,0.0,409.6,31150-590
180,Cancelled,27987,39.97,137.97,54450-020
183,Pending,32413,269.35,661.35,44440-432
183,Pending,33525,0.0,852.0,44440-432
183,Pending,38046,0.0,1014.0,44440-432
188,Cancelled,7711,15.0,297.6,74935-184
189,Cancelled,5242,0.0,1284.0,05704-130
190,Cancelled,13484,0.0,2238.0,89020-400
197,Pending,18322,0.0,598.0,14020-550
198,Cancelled,8971,83.91,377.91,22451-030
198,Cancelled,47788,68.31,244.71,22451-030
202,Refunded,1897,0.0,1257.2,05427-010
202,Refunded,1898,0.0,1765.6,05427-010
209,Cancelled,5667,0.0,578.8,74805-440
209,Cancelled,5680,0.0,380.8,74805-440
212,Cancelled,5639,0.0,892.0,29042-262
212,Cancelled,5643,0.0,892.0,29042-262
216,Cancelled,4960,0.0,1590.0,76805-859
216,Cancelled,15336,0.0,474.0,76805-859
216,Cancelled,47740,0.0,954.0,76805-859
217,Cancelled,65732,0.0,1990.8,30112-000
219,Pending,10601,230.01,408.81,37370-000
219,Pending,10602,186.21,335.21,37370-000
219,Cancelled,10605,102.79,400.79,37370-000
219,Pending,14939,102.77,400.77,37370-000
219,Pending,14940,0.0,530.8,37370-000
222,Cancelled,5634,0.0,1612.5,15038-008
225,Cancelled,5105,0.0,1434.0,41810-580
225,Cancelled,6657,0.0,2996.0,41810-580
234,Pending,19623,0.0,509.6,30315-560
237,Cancelled,6726,0.0,1180.0,29065-450
237,Cancelled,16318,39.79,303.79,29065-450
237,Cancelled,16320,0.0,1176.0,29065-450
237,Cancelled,38743,0.0,793.8,29065-450
237,Cancelled,41153,0.0,556.19,29065-450
237,Cancelled,44829,0.0,506.7,29065-450
242,Cancelled,16882,0.0,1056.0,34006-068
242,Cancelled,20851,0.0,656.0,34006-068
242,Cancelled,20853,0.0,656.0,34006-068
242,Cancelled,20854,0.0,656.0,34006-068
242,Cancelled,20865,0.0,656.0,34006-068
242,Cancelled,20909,0.0,764.0,34006-068
242,Cancelled,20910,0.0,804.0,34006-068
242,Cancelled,31159,0.0,1021.7,34006-068
242,Cancelled,31162,0.0,1021.7,34006-068
242,Cancelled,31163,0.0,1021.7,34006-068
242,Cancelled,52694,0.0,1115.2,34006-068
253,Cancelled,46359,0.0,410.4,36770-170
254,Cancelled,4766,0.0,624.0,04664-020
254,Cancelled,4790,0.0,624.0,04664-020
255,Pending,37034,0.0,597.0,06519-400
255,Failed,50511,158.79,598.79,06519-400
255,Cancelled,56971,0.0,468.0,06519-400
263,Cancelled,28807,0.0,1255.4,57036-430
265,Refunded,2023,0.0,1578.0,44085-232
266,Cancelled,33758,0.0,13534.0,12918-002
266,Pending,33759,0.0,13316.0,12918-002
270,Cancelled,8465,0.0,490.0,86975-000
270,Pending,12097,177.89,471.89,86975-000
270,Cancelled,45978,0.0,532.8,86975-000
270,Cancelled,48395,0.0,453.6,86975-000
272,Pending,15346,15.0,171.0,70764-010
275,Cancelled,5625,65.76,401.76,31340-420
281,Cancelled,5588,0.0,472.0,60115-125
281,Cancelled,14793,0.0,588.0,60115-125
281,Pending,17972,0.0,588.0,60115-125
281,Cancelled,30880,0.0,490.0,60115-125
281,Pending,37525,0.0,600.0,60115-125
281,Pending,37526,0.0,698.0,60115-125
291,Cancelled,52805,0.0,593.3,22210-060
297,Cancelled,5421,0.0,768.6,22081-001
297,Cancelled,5422,0.0,768.6,22081-001
297,Cancelled,11805,0.0,414.1,22081-001
302,Cancelled,4810,0.0,1434.0,22630-011
308,Pending,20945,0.0,742.0,05353-070
308,Pending,20948,0.0,478.0,05353-070
308,Pending,30711,70.09,354.09,05353-070
308,Pending,30841,0.0,422.0,05353-070
310,Cancelled,8352,0.0,407.8,75096-160
310,Cancelled,8741,0.0,403.6,75096-160
310,Cancelled,8743,0.0,687.6,75096-160
312,Cancelled,17604,15.0,131.0,70383-100
312,Cancelled,29631,15.0,189.0,70383-100
313,Cancelled,7599,0.0,690.65,22776-070
313,Cancelled,8859,0.0,508.0,22776-070
314,Cancelled,45431,0.0,491.4,51011-000
315,Cancelled,6557,15.0,465.0,22230-001
315,Failed,60547,15.0,297.0,22230-001
319,Cancelled,6363,0.0,1288.0,18047-599
330,Cancelled,5689,0.0,410.0,07114-000
335,Pending,12077,199.09,403.09,90540-031
338,Cancelled,7262,0.0,471.01,03322-002
340,Failed,52595,0.0,544.0,04080-004
340,Hold,65683,0.0,437.22,04080-004
340,Failed,65894,0.0,633.6,04080-004
340,Failed,65895,0.0,633.6,04080-004
340,Failed,65896,0.0,792.0,04080-004
341,Pending,20823,0.0,3540.5,85902-030
343,Cancelled,44135,85.57,485.17,34006-065
345,Refunded,2164,0.0,998.0,52061-080
349,Refunded,2171,0.0,430.4,41760-035
351,Cancelled,4924,0.0,1408.0,04549-011
351,Cancelled,4925,0.0,1408.0,04549-011
351,Cancelled,5005,0.0,1408.0,04549-011
352,Cancelled,7762,0.0,414.0,68505-400
352,Pending,31358,0.0,412.0,68505-400
352,Cancelled,31912,0.0,423.0,68505-400
355,Cancelled,40464,0.0,1083.6,36900-371
364,Failed,41093,0.0,632.0,29101-400
368,Pending,23398,0.0,418.0,15812-122
369,Pending,31214,0.0,450.5,14025-610
369,Pending,31228,0.0,416.5,14025-610
369,Cancelled,31237,0.0,416.5,14025-610
369,Cancelled,31246,0.0,416.5,14025-610
370,Refunded,2216,0.0,1608.0,11010-141
370,Cancelled,40704,0.0,455.4,11010-141
371,Cancelled,58741,15.0,396.6,74230-050
375,Pending,10049,0.0,773.7,35246-000
375,Pending,17357,0.0,597.4,35246-000
380,Cancelled,9437,0.0,4634.0,22081-040
385,Cancelled,24835,0.0,414.0,05707-001
386,Cancelled,24759,0.0,552.0,30140-003
395,Refunded,2326,0.0,575.3,90250-180
399,Cancelled,42297,0.0,666.0,58046-088
401,Refunded,2353,0.0,448.0,40296-720
413,Pending,14428,0.0,574.0,05315-030
429,Pending,40602,0.0,472.0,22461-020
429,Cancelled,51496,0.0,473.4,22461-020
429,Cancelled,51500,0.0,624.0,22461-020
434,Pending,18327,205.75,597.75,13930-000
434,Cancelled,31363,0.0,867.0,13930-000
435,Cancelled,7043,27.69,125.69,30310-640
435,Cancelled,7044,0.0,432.0,30310-640
435,Cancelled,7200,0.0,422.0,30310-640
436,Failed,41261,0.0,2376.0,44077-410
441,Failed,65419,35.39,114.49,22471-130
446,Cancelled,8475,0.0,1044.0,22621-040
453,Cancelled,4496,0.0,524.4,11055-150
453,Pending,11943,0.0,490.0,11055-150
456,Cancelled,5070,0.0,576.8,36576-220
456,Cancelled,52978,0.0,544.0,36576-220
456,Cancelled,67101,0.0,460.8,36576-220
458,Cancelled,4867,0.0,506.0,29701-660
458,Cancelled,4871,0.0,506.0,29701-660
458,Cancelled,32201,0.0,778.6,29701-660
458,Cancelled,59048,0.0,2133.0,29701-660
459,Cancelled,8005,0.0,1016.0,62034-122
459,Cancelled,17826,0.0,1558.0,62034-122
461,Cancelled,7162,0.0,1024.0,13480-273
461,Refunded,7163,0.0,409.6,13480-273
461,Cancelled,7176,0.0,409.6,13480-273
461,Pending,11252,104.89,458.89,13480-273
464,Cancelled,4696,0.0,432.0,95720-000
464,Cancelled,4699,0.0,709.0,95720-000
464,Cancelled,5143,0.0,816.0,95720-000
480,Cancelled,6924,0.0,408.0,22460-200
485,Cancelled,5278,30.45,85.35,22461-020
485,Cancelled,8083,60.33,170.13,22461-020
485,Cancelled,20302,33.67,131.67,22461-020
500,Cancelled,5993,0.0,144.0,74860-110
504,Cancelled,7094,0.0,4068.0,51111-000
512,Pending,16342,0.0,402.0,71925-180
516,Refunded,3558,0.0,2195.6,30310-640
521,Pending,14658,0.0,2016.0,62034-120
521,Pending,31452,0.0,834.0,62034-120
525,Cancelled,45174,0.0,2149.2,30112-010
526,Pending,13898,105.65,497.65,22793-520
533,Cancelled,4852,0.0,752.0,70705-911
533,Cancelled,6340,0.0,1829.0,70705-911
533,Cancelled,6524,0.0,1567.5,70705-911
533,Cancelled,7690,15.0,2074.0,70705-911
533,Cancelled,7691,0.0,2059.0,70705-911
533,Cancelled,8109,15.0,2151.0,70705-911
533,Cancelled,8584,15.0,1407.0,70705-911
535,Cancelled,5262,0.0,680.0,40221-225
535,Cancelled,5264,0.0,680.0,40221-225
535,Cancelled,5266,0.0,680.0,40221-225
535,Cancelled,5267,0.0,680.0,40221-225
535,Cancelled,8198,0.0,422.0,40221-225
537,Cancelled,6936,0.0,1068.0,01410-000
538,Pending,30243,0.0,774.0,04566-000
541,Cancelled,15270,0.0,558.0,52050-250
541,Cancelled,30069,0.0,426.0,52050-250
542,Cancelled,44808,0.0,657.0,13202-281
542,Cancelled,64850,0.0,509.36,13202-281
545,Cancelled,5593,0.0,2528.01,89203-070
545,Cancelled,7653,0.0,2392.8,89203-070
549,Cancelled,39849,157.55,535.55,22620-250
550,Pending,30467,168.27,456.27,30180-150
554,Refunded,4020,0.0,408.0,01258-001
561,Pending,13454,43.47,141.47,59062-670
561,Refunded,13455,15.0,113.0,59062-670
569,Cancelled,8746,93.17,485.17,35460-000
569,Cancelled,8755,0.0,490.0,35460-000
569,Pending,10931,0.0,472.0,35460-000
569,Cancelled,44826,0.0,628.2,35460-000
569,Cancelled,45070,0.0,628.2,35460-000
571,Cancelled,35239,0.0,2020.0,01416-000
571,Cancelled,35265,0.0,2020.0,01416-000
571,Cancelled,35273,0.0,2020.0,01416-000
571,Cancelled,35280,0.0,2020.0,01416-000
571,Cancelled,35287,0.0,2020.0,01416-000
571,Cancelled,35294,0.0,2020.0,01416-000
571,Cancelled,35301,0.0,2020.0,01416-000
572,Hold,64519,0.0,617.4,87780-000
574,Refunded,4192,338.0,590.0,98170-000
580,Pending,32920,0.0,490.0,24220-041
592,Cancelled,8176,0.0,1198.0,36025-060
592,Cancelled,10845,0.0,958.0,36025-060
592,Cancelled,14803,0.0,1198.0,36025-060
592,Cancelled,14851,0.0,1198.0,36025-060
592,Cancelled,14852,0.0,1138.1,36025-060
592,Cancelled,16595,0.0,1558.0,36025-060
592,Cancelled,21998,0.0,2264.0,36025-060
592,Failed,64517,0.0,603.0,36025-060
594,Cancelled,4502,0.0,1116.0,86020-420
594,Cancelled,4874,456.08,1160.08,86020-420
596,Cancelled,4396,0.0,1378.8,35767-000
597,Cancelled,4403,30.37,80.27,22060-001
598,Cancelled,4406,0.0,424.6,60160-070
598,Cancelled,8739,0.0,429.2,60160-070
600,Cancelled,4410,0.0,478.0,41701-015
601,Cancelled,4418,107.55,382.85,30370-110
603,Cancelled,4430,33.49,131.49,88034-470
603,Cancelled,5494,33.04,101.04,88034-470
604,Cancelled,4433,0.0,1176.0,30320-400
605,Cancelled,4437,50.03,324.03,71218-010
606,Cancelled,4447,0.0,409.5,30180-091
606,Cancelled,4552,0.0,422.0,30180-091
607,Cancelled,4450,0.0,403.8,12908-560
607,Pending,31565,0.0,451.0,12908-560
608,Cancelled,4452,0.0,432.0,04624-000
612,Cancelled,4472,0.0,411.5,29060-445
614,Cancelled,4492,0.0,479.8,63040-180
614,Cancelled,4493,0.0,479.8,63040-180
615,Cancelled,4498,66.26,262.26,40150-120
618,Cancelled,4510,78.26,234.26,36404-040
621,Cancelled,4534,0.0,2994.0,13255-848
623,Cancelled,4542,0.0,420.3,06710-400
623,Cancelled,5605,0.0,468.3,06710-400
626,Cancelled,4554,0.0,479.8,63040-180
626,Cancelled,53022,0.0,677.6,63040-180
628,Cancelled,4565,0.0,536.0,38408-442
628,Cancelled,4800,0.0,568.0,38408-442
630,Cancelled,4574,27.64,95.94,13064-760
631,Cancelled,4577,0.0,408.0,89500-000
631,Cancelled,4601,0.0,408.0,89500-000
633,Cancelled,4595,0.0,499.0,36506-014
633,Cancelled,7780,0.0,444.0,36506-014
634,Cancelled,4599,0.0,539.8,30350-690
635,Cancelled,11102,0.0,466.0,52011-040
637,Cancelled,4620,32.79,71.09,36850-000
638,Cancelled,4623,34.18,178.18,43700-000
639,Cancelled,4624,0.0,477.3,64600-154
640,Cancelled,4632,15.0,201.0,74674-240
643,Cancelled,4653,0.0,919.2,11040-111
644,Cancelled,4657,15.0,260.9,74830-110
644,Cancelled,4660,15.0,260.9,74830-110
646,Cancelled,4683,57.84,505.84,09560-500
649,Cancelled,4695,0.0,1374.0,30210-490
650,Cancelled,4705,0.0,1196.8,22210-030
652,Cancelled,4739,57.07,286.87,13484-266
652,Cancelled,61826,40.44,344.64,13484-266
655,Cancelled,4752,0.0,454.9,87060-666
657,Cancelled,4756,0.0,330.0,74115-040
658,Cancelled,4769,15.0,181.8,74840-270
660,Cancelled,4782,0.0,1434.0,60165-070
662,Cancelled,4806,15.0,223.0,70673-110
662,Cancelled,4808,0.0,406.0,70673-110
663,Cancelled,4819,0.0,408.0,22630-010
665,Cancelled,4830,54.06,250.06,04561-003
669,Cancelled,4849,0.0,440.0,76630-000
670,Cancelled,4851,0.0,811.0,05541-030
671,Cancelled,4858,0.0,2948.3,78850-000
671,Cancelled,49455,0.0,2129.94,78850-000
671,Cancelled,49457,0.0,1458.0,78850-000
671,Cancelled,49458,0.0,1458.0,78850-000
671,Cancelled,49660,0.0,1879.2,78850-000
671,Cancelled,50024,0.0,1561.5,78850-000
671,Cancelled,50064,0.0,1686.6,78850-000
671,Cancelled,50141,0.0,1360.8,78850-000
671,Cancelled,50225,0.0,1173.6,78850-000
671,Cancelled,50228,0.0,1623.6,78850-000
671,Cancelled,50302,0.0,1362.6,78850-000
671,Cancelled,50464,0.0,1222.2,78850-000
671,Cancelled,50465,0.0,1256.4,78850-000
671,Cancelled,50497,0.0,1398.6,78850-000
671,Cancelled,50498,0.0,2611.8,78850-000
671,Cancelled,50567,0.0,1393.2,78850-000
671,Cancelled,50657,0.0,2044.8,78850-000
671,Cancelled,50701,0.0,1528.2,78850-000
671,Cancelled,50924,0.0,2426.4,78850-000
671,Cancelled,51130,0.0,1587.42,78850-000
671,Cancelled,51131,0.0,2066.4,78850-000
671,Cancelled,51289,0.0,1742.4,78850-000
671,Cancelled,51755,0.0,1371.6,78850-000
671,Cancelled,51842,0.0,1764.0,78850-000
671,Cancelled,52572,0.0,1781.64,78850-000
671,Cancelled,53011,0.0,3399.6,78850-000
671,Cancelled,53428,0.0,1909.44,78850-000
673,Cancelled,4869,0.0,540.0,04015-013
673,Pending,38077,0.0,928.0,04015-013
676,Cancelled,4899,122.95,425.25,13481-294
678,Cancelled,4904,0.0,294.1,74140-140
678,Cancelled,10920,0.0,440.0,74140-140
678,Pending,10936,0.0,440.0,74140-140
678,Pending,37783,15.0,266.6,74140-140
678,Pending,37792,15.0,168.0,74140-140
679,Cancelled,4913,15.0,279.0,70383-030
680,Cancelled,4916,0.0,467.6,14076-380
681,Cancelled,4919,0.0,852.0,77809-600
681,Cancelled,4920,0.0,852.0,77809-600
681,Cancelled,4957,0.0,852.0,77809-600
681,Cancelled,6106,0.0,664.0,77809-600
682,Pending,28962,0.0,596.0,91330-001
683,Cancelled,4935,0.0,864.0,04546-003
683,Cancelled,4963,0.0,864.0,04546-003
683,Cancelled,4964,0.0,864.0,04546-003
684,Cancelled,4941,0.0,415.2,55315-000
685,Cancelled,4945,15.0,264.5,70383-090
686,Cancelled,4955,0.0,400.0,66035-435
686,Cancelled,6114,0.0,858.1,66035-435
686,Pending,31410,0.0,418.2,66035-435
688,Cancelled,4978,0.0,447.9,12941-606
689,Cancelled,4982,0.0,476.0,36307-220
690,Cancelled,4984,52.89,170.69,13340-350
693,Cancelled,5010,0.0,684.0,12460-000
693,Cancelled,5011,0.0,684.0,12460-000
693,Cancelled,8393,0.0,538.0,12460-000
694,Cancelled,5014,0.0,568.0,74140-120
695,Cancelled,5019,0.0,426.8,45605-482
695,Cancelled,5033,0.0,426.8,45605-482
696,Refunded,5027,0.0,414.0,74884-606
697,Cancelled,5044,57.08,453.58,03333-000
697,Cancelled,5051,28.09,126.09,03333-000
698,Cancelled,44748,0.0,1047.6,62042-240
700,Cancelled,5057,0.0,1434.0,40150-122
703,Pending,11947,0.0,856.0,57063-250
703,Pending,12152,0.0,3632.0,57063-250
703,Pending,22078,0.0,1116.0,57063-250
703,Pending,22080,0.0,1116.0,57063-250
706,Cancelled,5096,0.0,512.0,22793-670
707,Cancelled,5100,0.0,708.0,29065-490
707,Cancelled,6533,0.0,984.0,29065-490
707,Cancelled,6713,0.0,489.4,29065-490
707,Cancelled,13837,0.0,524.0,29065-490
707,Cancelled,13921,0.0,524.0,29065-490
708,Cancelled,5108,0.0,400.0,69915-443
708,Cancelled,5119,0.0,400.0,69915-443
709,Cancelled,41808,0.0,518.4,90520-580
710,Cancelled,5130,0.0,1448.5,24210-400
711,Cancelled,5149,0.0,64.0,74210-050
711,Cancelled,5151,0.0,117.8,74210-050
713,Cancelled,5160,82.71,381.51,38402-680
714,Cancelled,6919,56.29,344.29,16400-035
715,Pending,11109,0.0,1040.0,22776-070
716,Cancelled,31647,0.0,1104.0,28360-000
717,Cancelled,61931,39.9,216.3,78040-600
719,Cancelled,5195,28.09,126.09,04522-032
719,Cancelled,5196,0.0,1201.0,04522-032
719,Cancelled,5197,0.0,1201.0,04522-032
719,Cancelled,5198,0.0,1201.0,04522-032
719,Cancelled,5199,0.0,1201.0,04522-032
719,Cancelled,5200,0.0,1201.0,04522-032
719,Pending,37785,0.0,564.0,04522-032
720,Cancelled,5207,0.0,1704.0,88350-075
722,Cancelled,5224,0.0,1434.0,60170-020
728,Cancelled,5253,0.0,446.0,22790-587
731,Cancelled,5270,0.0,422.0,31310-380
731,Cancelled,5414,0.0,422.0,31310-380
733,Cancelled,5287,38.94,66.94,59056-050
