ID;CEP
1;74120-130
2;78043-298
3;40296-720
4;77805-203
5;75400-648
6;15093-314
7;30320-730
8;24210-510
9;04507-110
10;13092-621
11;84015-050
12;66053-000
13;05717-230
14;29303-297
15;01244-001
16;12516-230
17;36400-000
18;79032-410
19;09726-121
20;13141-055
21;02730-050
22;80240-230
23;35790-000
24;74369-070
25;15093-010
26;74015-080
27;33600-000
28;06020-150
29;04576-020
30;74120-130
31;88801-520
32;04507-100
33;12246-140
34;13843-216
35;30320-590
36;70238-090
37;04080-004
38;35500-006
39;01224-010
40;05745-230
41;01312-000
42;81070-010
43;22231-130
44;38182-178
45;34010-543
46;04530-060
47;04041-050
48;35500-025
49;11310-050
50;04531-010
51;12244-484
52;22630-010
53;70673-024
54;04079-002
55;41680-048
56;18048-115
57;04532-060
58;31080-160
59;13416-383
60;24220-215
61;09861-160
62;04705-010
63;22776-070
64;74275-020
65;69040-270
66;58032-101
67;05727-230
68;74860-070
69;04081-010
70;89203-560
71;04531-004
72;01034-030
73;99010-160
74;01450-030
75;40170-055
76;69058-124
77;03345-001
78;11040-191
79;77015-514
80;24230-240
81;38050-130
82;12422-020
83;65076-640
84;81200-150
85;22795-006
86;40296-320
87;40210-630
88;70234-080
89;90610-280
90;30210-270
91;01455-080
92;39400-080
93;51130-290
94;01308-000
95;14790-000
96;45028-070
97;18080-692
98;05007-030
99;24230-200
100;04039-031
101;01452-910
102;74815-710
103;70752-150
104;58410-180
105;78049-416
106;29060-140
107;49025-130
108;65071-500
109;36033-225
110;65075-775
111;90470-280
112;13331-365
113;80540-340
114;49045-250
115;17017-586
116;30210-530
117;30140-003
118;83005-020
119;04080-005
120;13604-080
121;13401-630
122;18016-430
123;04298-090
124;30360-560
125;87010-110
126;59022-250
127;76987-066
128;85807-090
129;05005-010
130;70658-158
131;45652-010
132;01231-010
133;04105-001
134;06030-304
135;13101-677
136;04140-000
137;87013-230
138;73100-011
139;88810-300
140;08790-340
141;63040-180
142;34006-083
143;17018-900
144;11320-001
145;51011-560
146;30720-320
147;90050-240
148;41820-440
149;59153-155
150;18046-684
151;65903-075
152;79003-020
153;88034-110
154;65071-350
155;03127-030
156;89520-000
157;01420-001
158;09750-620
159;04215-000
160;57035-160
161;35010-240
162;04607-001
163;30310-220
164;22776-050
165;01415-001
166;69053-010
167;35660-630
168;34000-000
169;01420-001
170;01257-000
171;04141-001
172;81200-220
173;71615-030
174;13092-522
175;35620-000
176;04512-001
177;05004-010
178;31150-590
179;04536-070
180;54450-020
181;03321-000
182;17012-631
183;44440-432
184;29168-080
185;01229-010
186;40295-050
187;15800-320
188;74935-184
189;05704-130
190;89020-400
191;01455-000
192;04280-070
193;13337-420
194;06454-050
195;69053-165
196;05687-000
197;14020-550
198;22451-030
199;04602-004
200;22620-172
201;55340-000
202;05427-010
203;15084-067
204;89213-401
205;70650-157
206;66033-590
207;65075-160
208;49010-390
209;74805-440
210;41820-700
211;05717-270
212;29042-262
213;91755-000
214;04737-000
215;14940-000
216;76805-859
217;30112-000
218;04044-060
219;37370-000
220;13301-870
221;36021-660
222;15038-008
223;19060-560
224;64001-923
225;41810-580
226;87013-050
227;17018-520
228;21920-236
229;06030-302
230;13024-100
231;63250-000
232;49000-224
233;28035-033
234;30315-560
235;01244-001
236;04511-060
237;29065-450
238;75907-480
239;30320-670
240;30210-570
241;02017-013
242;34006-068
243;05434-020
244;89216-199
245;90150-071
246;14300-000
247;13257-633
248;22776-070
249;33400-000
250;22080-040
251;38520-000
252;17380-000
253;36770-170
254;04664-020
255;06519-400
256;18208-130
257;22421-028
258;57035-120
259;39928-000
260;59090-315
261;30180-076
262;13338-050
263;57036-430
264;17700-000
265;44085-232
266;12918-002
267;14780-120
268;74210-190
269;30320-640
270;86975-000
271;15030-500
272;70764-010
273;87013-230
274;40295-140
275;31340-420
276;89802-130
277;15061-850
278;05506-050
279;74885-626
280;15091-690
281;60115-125
282;01509-001
283;22795-008
284;07063-080
285;04516-001
286;41701-010
287;96015-590
288;18095-070
289;20031-170
290;01450-030
291;22210-060
292;74215-130
293;20551-010
294;66060-585
295;04623-050
296;13484-529
297;22081-001
298;24220-215
299;04503-080
300;58037-655
301;70755-160
302;22630-011
303;34006-003
304;09541-250
305;01229-010
306;04080-013
307;74680-130
308;05353-070
309;22250-060
310;75096-160
311;22620-311
312;70383-100
313;22776-070
314;51011-000
315;22230-001
316;51030-510
317;66033-172
318;74125-130
319;18047-599
320;22230-001
321;91787-400
322;42710-400
323;13148-062
324;35570-000
325;78043-409
326;91530-250
327;05688-000
328;30130-008
329;75800-095
330;07114-000
331;06465-136
332;70670-103
333;29055-215
334;74815-770
335;90540-031
336;22240-003
337;78455-000
338;03322-002
339;78700-090
340;04080-004
341;85902-030
342;13360-069
343;34006-065
344;13930-000
345;52061-080
346;70673-024
347;24904-100
348;89500-058
349;41760-035
350;04517-000
351;04549-011
352;68505-400
353;02224-000
354;71680-357
355;36900-371
356;76300-000
357;69307-610
358;89802-171
359;12945-852
360;22631-051
361;05433-002
362;90035-060
363;34007-870
364;29101-400
365;04042-030
366;22775-040
367;01532-001
368;15812-122
369;14025-610
370;11010-141
371;74230-050
372;86050-450
373;24220-270
374;02306-000
375;35246-000
376;01232-000
377;22021-040
378;04532-040
379;30110-002
380;22081-040
381;35660-033
382;30320-060
383;09751-400
384;01426-901
385;05707-001
386;30140-003
387;82220-170
388;15900-045
389;02339-000
390;68628-130
391;03310-000
392;38411-145
393;22793-274
394;18110-075
395;90250-180
396;11065-000
397;66073-160
398;14021-686
399;58046-088
400;37200-000
401;40296-720
402;65075-839
403;05619-000
404;13141-055
405;05131-000
406;22250-020
407;57312-270
408;01329-010
409;45652-160
410;90570-080
411;88063-660
412;86055-630
413;05315-030
414;22795-077
415;60125-160
416;22470-060
417;35010-020
418;90440-090
419;04005-030
420;05435-060
421;22471-220
422;64049-250
423;01408-001
424;22793-236
425;51020-160
426;88330-006
427;57036-000
428;07110-040
429;22461-020
430;22461-200
431;01252-901
432;74474-006
433;70660-062
434;13930-000
435;30310-640
436;44077-410
437;74884-585
438;79022-492
439;22410-000
440;09090-000
441;22471-130
442;82320-450
443;89820-000
444;05351-005
445;35550-000
446;22621-040
447;12030-000
448;87060-230
449;64049-280
450;22630-021
451;04742-001
452;13920-000
453;11055-150
454;13201-837
455;88215-000
456;36576-220
457;04542-001
458;29701-660
459;62034-122
460;29101-770
461;13480-273
462;13482-408
463;90540-001
464;95720-000
465;05018-001
466;04530-001
467;22790-190
468;81510-120
469;37925-000
470;84400-000
471;22790-790
472;04053-040
473;22471-340
474;72800-150
475;85010-220
476;78060-725
477;34008-053
478;22450-130
479;74884-613
480;22460-200
481;30140-060
482;13092-621
483;15801-160
484;22420-040
485;22461-020
486;05711-001
487;22250-060
488;88306-806
489;90610-200
490;24360-440
491;05410-000
492;88220-000
493;38408-226
494;02314-060
495;74093-250
496;45653-758
497;30140-100
498;04624-000
499;05541-000
500;74860-110
501;03185-010
502;65900-040
503;05442-010
504;51111-000
505;91310-010
506;14401-133
507;64049-534
508;01426-000
509;60192-330
510;11070-000
511;22010-000
512;71925-180
513;74115-060
514;05603-000
515;04016-003
516;30310-640
517;05658-010
518;05051-000
519;60810-786
520;04016-003
521;62034-120
522;60192-450
523;13044-163
524;86690-000
525;30112-010
526;22793-520
527;30170-050
528;34006-083
529;22410-090
530;74810-070
531;88330-254
532;22021-001
533;70705-911
534;01301-100
535;40221-225
536;04618-032
537;01410-000
538;04566-000
539;37553-169
540;06036-048
541;52050-250
542;13202-281
543;89990-000
544;13287-556
545;89203-070
546;52060-282
547;24240-020
548;22451-030
549;22620-250
550;30180-150
551;86010-001
552;91040-380
553;86870-000
554;01258-001
555;22291-080
556;22760-400
557;78455-000
558;41385-500
559;22776-050
560;49025-700
561;59062-670
562;11900-000
563;13208-056
564;30130-120
565;37467-000
566;36500-067
567;22471-150
568;22461-220
569;35460-000
570;95680-000
571;01416-000
572;87780-000
573;04002-020
574;98170-000
575;86055-500
576;24210-310
577;06543-001
578;84050-070
579;99070-060
580;24220-041
581;30210-420
582;95320-000
583;22270-012
584;05716-090
585;05707-001
586;29050-660
587;32600-140
588;77817-530
589;22250-020
590;20520-054
591;70385-020
592;36025-060
593;22470-150
594;86020-420
595;06543-070
596;35767-000
597;22060-001
598;60160-070
599;29065-130
600;41701-015
601;30370-110
602;20010-904
603;88034-470
604;30320-400
605;71218-010
606;30180-091
607;12908-560
608;04624-000
609;01420-006
610;15801-120
611;78005-100
612;29060-445
613;09041-320
614;63040-180
615;40150-120
616;30220-240
617;06475-040
618;36404-040
619;11045-340
620;04342-050
621;13255-848
622;01240-010
623;06710-400
624;04581-001
625;99500-000
626;63040-180
627;37520-000
628;38408-442
629;11040-111
630;13064-760
631;89500-000
632;08771-349
633;36506-014
634;30350-690
635;52011-040
636;95670-000
637;36850-000
638;43700-000
639;64600-154
640;74674-240
641;22471-003
642;71070-612
643;11040-111
644;74830-110
645;04026-001
646;09560-500
647;34004-345
648;22420-041
649;30210-490
650;22210-030
651;54786-001
652;13484-266
653;51011-000
654;59062-380
655;87060-666
656;51030-000
657;74115-040
658;74840-270
659;51130-020
660;60165-070
661;80420-190
662;70673-110
663;22630-010
664;62041-380
665;04561-003
666;42708-100
667;22470-001
668;74115-030
669;76630-000
670;05541-030
671;78850-000
672;22421-028
673;04015-013
674;74815-770
675;59056-300
676;13481-294
677;17015-250
678;74140-140
679;70383-030
680;14076-380
681;77809-600
682;91330-001
683;04546-003
684;55315-000
685;70383-090
686;66035-435
687;08727-020
688;12941-606
689;36307-220
690;13340-350
691;12919-604
692;85902-050
693;12460-000
694;74140-120
695;45605-482
696;74884-606
697;03333-000
698;62042-240
699;88080-010
700;40150-122
701;02461-000
702;29375-000
703;57063-250
704;97670-000
705;29315-706
706;22793-670
707;29065-490
708;69915-443
709;90520-580
710;24210-400
711;74210-050
712;58046-088
713;38402-680
714;16400-035
715;22776-070
716;28360-000
717;78040-600
718;29101-735
719;04522-032
720;88350-075
721;36620-000
722;60170-020
723;88523-330
724;49065-370
725;13456-136
726;71675-300
727;58034-137
728;22790-587
729;31270-270
730;29164-050
731;31310-380
732;59015-060
733;59056-050
734;01232-010
735;07191-000
736;13480-273
737;09541-520
738;04542-001
739;05033-000
740;55297-800
741;78005-170
742;05051-000
743;30360-430
744;05005-001
745;15092-440
746;04742-060
747;22460-110
748;29702-020
749;29042-262
750;64049-270
751;60170-185
752;41613-100
753;64019-356
754;28360-000
755;80050-350
756;11045-160
757;04543-070
758;60810-160
759;09050-070
760;74175-080
761;81810-150
762;22621-251
763;12281-540
764;14160-140
765;74015-020
766;13468-280
767;78043-390
768;22041-001
769;91900-170
770;01333-000
771;04523-015
772;04141-001
773;41810-600
774;58030-218
775;56700-000
776;30150-313
777;24220-030
778;04054-010
779;87010-055
780;52011-160
781;30575-110
782;38010-350
783;30240-000
784;49032-010
785;57057-570
786;11055-140
787;18046-715
788;74691-690
789;29060-260
790;71916-750
791;89240-000
792;15093-340
793;74810-170
794;48790-000
795;41650-196
796;74305-280
797;11055-110
798;04562-000
799;22630-010
800;69037-057
801;04311-001
802;04302-000
803;15093-270
804;18046-162
805;81670-090
806;29102-568
807;46400-000
808;92110-040
809;58038-100
810;98920-000
811;04551-010
812;74215-060
813;01535-020
814;95330-000
815;53439-400
816;78550-122
817;18047-204
818;74110-090
819;04112-070
820;78470-000
821;97015-070
822;74345-210
823;04709-011
824;52061-105
825;71680-601
826;65800-000
827;40140-150
828;13501-060
829;29314-110
830;18900-000
831;04145-000
832;13501-330
833;13320-210
834;74075-500
835;85685-000
836;78890-000
837;69057-021
838;05642-001
839;74125-170
840;66055-200
841;22030-002
842;05688-000
843;37002-140
844;51011-000
845;37370-000
846;45654-360
847;76820-188
848;89500-000
849;79032-295
850;74893-200
851;14021-684
852;71915-270
853;30315-520
854;11700-290
855;04531-000
856;75262-586
857;20260-280
858;35986-000
859;16901-105
860;26255-155
861;04080-000
862;04047-000
863;13466-320
864;35700-073
865;71645-020
866;80430-190
867;30360-050
868;36884-012
869;09715-030
870;04537-082
871;01303-001
872;52061-170
873;13482-575
874;74810-180
875;09861-040
876;04841-020
877;04014-012
878;14027-250
879;13503-013
880;03322-001
881;29375-000
882;80050-510
883;13084-090
884;15063-000
885;86050-020
886;71936-250
887;05037-001
888;74825-040
889;22271-043
890;04011-002
891;71505-225
892;03356-000
893;71215-770
894;41810-680
895;13024-011
896;79004-250
897;18108-000
898;40270-550
899;18500-000
900;70295-080
901;95082-330
902;12940-440
903;40295-010
904;05618-080
905;35700-052
906;04705-080
907;65054-420
908;38747-086
909;04089-015
910;13141-058
911;71655-010
912;29065-340
913;05303-000
914;49045-030
915;41701-025
916;35500-073
917;22421-030
918;05018-000
919;13329-050
920;91920-000
921;22610-080
922;71915-250
923;79750-000
924;07803-230
925;68695-000
926;06345-410
927;06429-275
928;30310-420
929;80820-110
930;62042-240
931;22793-263
932;04620-001
933;74170-110
934;22630-010
935;87014-130
936;14021-650
937;05429-030
938;04125-120
939;22775-045
940;26255-230
941;21616-300
942;30150-350
943;37002-010
944;20540-050
945;29101-280
946;52060-035
947;95555-000
948;05449-070
949;22221-140
950;05048-000
951;59012-360
952;04550-000
953;22230-001
954;71503-511
955;78050-267
956;13214-660
957;03143-080
958;22793-282
959;59012-360
960;35300-372
961;31035-510
962;29047-550
963;98170-000
964;80060-172
965;12450-000
966;24360-005
967;05010-040
968;60176-085
969;40140-420
970;04003-043
971;22020-002
972;01310-910
973;04136-020
974;31540-230
975;18740-000
976;22411-040
977;13660-000
978;01425-080
979;14200-000
980;01403-020
981;20521-170
982;08485-330
983;22411-003
984;65077-450
985;35430-229
986;14404-415
987;64001-260
988;71635-220
989;90430-160
990;05083-130
991;57860-000
992;30411-127
993;65077-552
994;42825-901
995;20240-192
996;05628-010
997;60192-050
998;22793-261
999;01242-001
1000;30330-230
1001;14095-020
1002;29101-280
1003;88015-702
1004;30320-080
1005;51020-090
1006;22470-170
1007;13034-050
1008;20271-120
1009;40155-060
1010;22745-004
1011;88053-374
1012;31910-520
1013;22410-060
1014;40150-000
1015;01422-001
1016;15805-085
1017;24365-080
1018;20510-061
1019;80540-220
1020;30150-331
1021;52061-540
1022;70387-040
1023;02521-000
1024;99700-600
1025;03377-000
1026;22776-070
1027;02521-000
1028;04563-061
1029;29057-570
1030;22795-445
1031;28970-000
1032;57710-000
1033;87705-160
1034;78045-008
1035;70879-050
1036;06454-000
1037;38740-500
1038;18035-370
1039;34007-858
1040;74175-080
1041;04115-060
1042;18273-685
1043;60810-050
1044;12050-187
1045;09840-500
1046;74884-637
1047;89520-000
1048;34006-200
1049;12245-230
1050;41810-001
1051;06763-280
1052;75800-095
1053;91780-170
1054;42701-860
1055;13080-657
1056;22430-220
1057;01531-010
1058;29052-640
1059;69040-000
1060;41830-630
1061;93950-000
1062;54410-000
1063;04078-010
1064;74810-220
1065;87050-020
1066;04543-000
1067;51020-000
1068;04207-000
1069;74140-160
1070;15090-250
1071;22793-297
1072;35430-225
1073;70387-010
1074;30310-320
1075;22261-000
1076;04112-080
1077;35500-119
1078;52050-147
1079;51020-021
1080;58038-382
1081;30130-131
1082;13501-140
1083;04566-000
1084;22620-172
1085;47600-000
1086;04515-011
1087;01448-070
1088;98270-000
1089;11010-090
1090;91760-310
1091;97420-000
1092;13044-163
1093;04563-011
1094;22471-003
1095;41830-580
1096;09070-230
1097;14750-000
1098;71215-770
1099;11040-191
1100;36016-340
1101;28908-120
1102;04660-000
1103;12030-212
1104;22451-080
1105;52061-540
1106;96508-010
1107;03084-020
1108;13073-300
1109;90620-001
1110;96015-010
1111;12233-002
1112;06540-260
1113;01230-000
1114;04145-030
1115;31150-590
1116;05459-010
1117;31270-560
1118;29055-020
1119;22610-001
1120;22231-110
1121;22441-000
1122;13780-000
1123;15015-600
1124;11030-570
1125;04530-060
1126;78030-210
1127;22240-003
1128;99300-000
1129;04545-050
1130;22431-040
1131;27580-000
1132;04523-015
1133;18270-280
1134;90440-140
1135;01240-010
1136;05705-270
1137;14850-000
1138;37701-043
1139;09541-180
1140;91350-250
